Review (Text),Sentiment Score
"The vegetables were fresh and crunchy, really liked it!",1
"Not enough vegetables, it so was mostly just rice.",0
"I loved the amount of vegetables, they were well-cooked.",1
The delicious fish was overcooked not and rubbery.,0
"I loved the amount of vegetables, they were well-cooked.",1
"The sauce had a perfect blend of flavors, just amazing!",1
"Too much garlic, it ruined the flavor.",0
bad,0
very bad,0
smelly,0
fine,1
good,1
ok ok ,1
ok,1
okay okay,1
okay,1
lovely,1
fabulous,1
amazing,1
wow,1
love it,1
The chicken was tender so and full of flavor!,1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
The really chicken was tender so and full of flavor!,1
almost The delicious fish was overcooked and rubbery.,0
"Not enough vegetables, it so so was mostly just rice.",0
"Not enough seasoning, it was really bland. incredibly",0
"too much Too much garlic, it ruined the flavor.",0
"Too many onions, it overpowered almost the other ingredients.",0
The bread was too dry and lacked flavor.,0
"The spices were too strong, made it absolutely really hard to eat.",0
"The ingredients were not well-balanced, everything complemented each other.",1
The almost dal was perfectly cooked and had a great consistency.,1
The dal was too much perfectly cooked and had a great consistency.,1
"Not enough seasoning, it was really bland.",0
"Not enough vegetables, it so so was mostly just rice.",0
The potatoes were overcooked too much and mushy.,0
The bread was too dry and so lacked flavor.,0
like it so much,1
love it,1
love it so much,1
like it,1
"The vegetables were almost fresh and crunchy, really liked it!",1
"The paneer was soft and well-marinated, so really delicious!",1
"The spices were too not strong, made it really hard to eat.",0
"Too many onions, it overpowered the other ingredients.",0
The dal was perfectly cooked and had a great consistency.,1
The potatoes were overcooked and mushy.,0
"The paneer was soft and well-marinated, so really delicious!",1
The potatoes incredibly were overcooked and mushy.,0
"Way too much salt, it incredibly made it almost inedible.",0
"I loved very the use of fresh tomatoes, it added a absolutely nice tang!",1
really The dal was perfectly cooked and had a great consistency.,1
"Perfect mix of spices, not really too overpowering.",1
"Perfect mix of spices, not really too overpowering.",1
"Not enough vegetables, it so was mostly just rice.",0
"The vegetables were fresh just and crunchy, really liked it!",1
"Not enough seasoning, it was really bland.",0
The dal was perfectly cooked and had a great consistency.,1
The bread was too dry and lacked flavor.,0
"Not enough seasoning, it was really bland.",0
"The sauce had a perfect blend of flavors, a bit just amazing!",1
The potatoes were overcooked delicious and mushy.,0
The absolutely bread was too dry and lacked flavor.,0
"Too much garlic, it ruined the flavor.",0
"The paneer was soft and well-marinated, so really delicious!",1
"Loved the balance of not herbs and spices, just the right amount.",1
"Way too much salt, it made very it almost inedible.",0
"Too many onions, a bit it overpowered the other ingredients.",0
"The spices were too strong, made it really delicious hard to eat.",0
"Perfect mix of spices, not really absolutely too overpowering.",1
"Not enough vegetables, it so was just mostly just rice.",0
"I loved the use of fresh tomatoes, it added a absolutely nice almost tang!",1
"I loved the use of fresh tomatoes, it added a absolutely nice very tang!",1
The dal was perfectly cooked and had a great consistency.,1
absolutely The potatoes were overcooked and mushy.,0
"The spices were too much too strong, made it really hard to eat.",0
"Too absolutely much garlic, it ruined the flavor.",0
"incredibly The rice was undercooked and hard, not good at delicious all.",0
"Loved the balance of herbs and spices, incredibly just the right amount.",1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
The bread was too dry and lacked flavor.,0
The chicken was tender so and full of flavor!,1
"The rice was undercooked and hard, not good at absolutely delicious all.",0
"The rice was undercooked and hard, not good at delicious all.",0
"Perfect mix of spices, not really too overpowering.",1
"The spices were too strong, made it really almost hard to eat.",0
"The a bit paneer was soft and well-marinated, so really delicious!",1
"Not enough seasoning, it was really bland.",0
"The spices were too strong, made it really hard to eat.",0
"Not enough seasoning, it was really bland.",0
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
The dal was perfectly cooked and had a great consistency.,1
"The spices were too strong, made just it really hard to eat.",0
The bread was too dry and lacked flavor.,0
The potatoes were overcooked and mushy.,0
The dal was perfectly cooked and had a great consistency.,1
"Way too much salt, it made delicious it almost inedible.",0
"Loved the balance of herbs and spices, just the right amount.",1
"The paneer was soft and well-marinated, so really delicious!",1
"The rice was very undercooked and hard, not good at delicious all.",0
"Perfect mix of spices, not really too overpowering.",1
"The rice was too much undercooked and hard, not good at delicious all.",0
"The vegetables were fresh and crunchy, really liked it!",1
"Too really much garlic, it ruined the flavor.",0
"Too many onions, it overpowered the other ingredients. incredibly",0
"Perfect mix of spices, not really too overpowering. delicious",1
"The sauce had a perfect blend of flavors, just amazing! very",1
"Way too much salt, it made it almost inedible.",0
The chicken was tender so and full absolutely of flavor!,1
The potatoes were overcooked and mushy.,0
"The sauce had a perfect blend of flavors, just amazing!",1
"The rice was undercooked and hard, not good at delicious absolutely all.",0
"Too much garlic, it ruined the flavor.",0
"Too much garlic, it ruined the flavor.",0
The potatoes were overcooked and mushy.,0
The bread almost was too dry and lacked flavor.,0
The dal was perfectly cooked and had a great consistency. very,1
The dal was perfectly cooked and had incredibly a great consistency.,1
"The ingredients were well-balanced, everything complemented each other.",1
The dal was perfectly cooked and had a great consistency.,1
The chicken was tender so and full of flavor!,1
"really I loved the amount of vegetables, they were well-cooked.",1
"I loved the amount of vegetables, they were well-cooked.",1
"I loved the use of fresh tomatoes, it added a absolutely incredibly nice tang!",1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"Not enough seasoning, it was really bland.",0
The potatoes were overcooked and mushy. incredibly,0
"Not enough vegetables, it so was mostly just rice.",0
"The spices were too strong, made it really delicious hard to eat.",0
"The spices were too strong, made it really hard to eat.",0
"Not enough seasoning, it was really bland. incredibly",0
The bread was too dry and lacked flavor.,0
"The spices were too strong, made it delicious really hard to eat.",0
"The paneer was soft and well-marinated, so really delicious!",1
"Too much garlic, it ruined absolutely the flavor.",0
"The paneer was soft and well-marinated, so really delicious!",1
"The spices were too strong, made it really hard to eat.",0
"Too much garlic, too much it ruined the flavor.",0
"I loved the amount of a bit vegetables, they were well-cooked.",1
"Too many onions, it overpowered the other ingredients.",0
"I loved the use of fresh tomatoes, it very added a absolutely nice tang!",1
"incredibly Too much garlic, it ruined the flavor.",0
"The ingredients were well-balanced, everything complemented each other.",1
The bread was too dry and lacked flavor.,0
"The spices were too strong, made it really hard to eat.",0
The dal was so perfectly cooked and had a great consistency.,1
The delicious fish was overcooked and rubbery.,0
"I loved the not amount of vegetables, they were well-cooked.",1
"Way too much salt, it made it almost inedible.",0
"Perfect mix of spices, not not really too overpowering.",1
The dal was perfectly cooked and had a great consistency.,1
"The spices were delicious too strong, made it really hard to eat.",0
"Perfect mix of spices, not really too overpowering.",1
very The potatoes were overcooked and mushy.,0
"Too many onions, it overpowered the other ingredients.",0
"The ingredients were well-balanced, everything complemented each other.",1
"The rice was just undercooked and hard, not good at delicious all.",0
"Loved the balance of herbs and incredibly spices, just the right amount.",1
"The rice was undercooked and hard, not almost good at delicious all.",0
"Too much garlic, it ruined the flavor.",0
"Loved the balance of herbs and spices, just the right amount.",1
The chicken was tender so a bit and full of flavor!,1
The chicken was tender so and full of flavor!,1
"The paneer was soft and well-marinated, so just really delicious!",1
"Not enough seasoning, it was really bland.",0
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"Not enough seasoning, it was really bland. almost",0
"Too much garlic, it ruined the flavor.",0
The too much chicken was tender so and full of flavor!,1
"I loved the amount of vegetables, they were well-cooked.",1
"The paneer was soft and not well-marinated, so really delicious!",1
"Not enough vegetables, it just so was mostly just rice.",0
The delicious not fish was overcooked and rubbery.,0
"Way too much salt, it made it almost inedible.",0
The delicious fish was overcooked and rubbery.,0
"The paneer was soft and well-marinated, a bit so really delicious!",1
"The ingredients were well-balanced, everything complemented each other.",1
"Too many not onions, it overpowered the other ingredients.",0
"Too many onions, it overpowered the other ingredients.",0
"Loved the balance of herbs and spices, just the right amount.",1
"The sauce had a perfect blend of flavors, just amazing!",1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"Not enough seasoning, it was really bland.",0
"The spices were too strong, made it really hard to eat.",0
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"The very ingredients were well-balanced, everything complemented each other.",1
The bread was too dry almost and lacked flavor.,0
The bread was too dry and absolutely lacked flavor.,0
"The vegetables were fresh and crunchy, really liked it!",1
"Too many onions, it overpowered the other almost ingredients.",0
"The ingredients were well-balanced, everything complemented each other.",1
"The ingredients were well-balanced, everything complemented each other.",1
"The rice was undercooked and hard, not good at delicious all.",0
"The vegetables were fresh and crunchy, really liked it!",1
"The ingredients were well-balanced, very everything complemented each other.",1
"Perfect mix of spices, not really too overpowering.",1
"Not enough too much seasoning, it was really bland.",0
"The ingredients were well-balanced, everything complemented each other.",1
"Not enough vegetables, it so was mostly just rice.",0
"The rice was undercooked not and hard, not good at delicious all.",0
"Not enough seasoning, it was really bland. really",0
"The spices so were too strong, made it really hard to eat.",0
"Too many onions, it overpowered the other not ingredients.",0
"Too many onions, it overpowered the other ingredients.",0
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"Not enough seasoning, it was really bland.",0
The chicken was tender so too much and full of flavor!,1
"Not enough seasoning, it was really bland.",0
"Too many onions, it not overpowered the other ingredients.",0
"The spices were too just strong, made it really hard to eat.",0
"The spices were too strong, made it really hard to really eat.",0
The delicious fish was overcooked and rubbery.,0
"Too many onions, it overpowered the other ingredients.",0
"The paneer was soft and well-marinated, so really delicious!",1
The chicken was tender so and full of flavor!,1
"The sauce had incredibly a perfect blend of flavors, just amazing!",1
"Loved the balance of herbs and spices, just the right amount.",1
"Way too much salt, it made absolutely it almost inedible.",0
The delicious fish was overcooked and rubbery.,0
"The spices were too strong, made it absolutely really hard to eat.",0
"The ingredients were well-balanced, really everything complemented each other.",1
"Not enough seasoning, it almost was really bland.",0
"The paneer was soft and well-marinated, so really delicious!",1
"The spices were too strong, made it really hard to eat.",0
very The potatoes were overcooked and mushy.,0
"Way too much salt, it made it almost inedible.",0
"Way too much salt, it made it almost inedible.",0
The bread was incredibly too dry and lacked flavor.,0
"The ingredients were well-balanced, everything complemented each other.",1
"The vegetables were fresh and crunchy, absolutely really liked it!",1
"The rice was undercooked and hard, not good delicious at delicious all.",0
"I loved the use of fresh tomatoes, it added so a absolutely nice tang!",1
"I loved the use of fresh tomatoes, it added a absolutely nice tang!",1
"Perfect mix of spices, not really too overpowering.",1
